STATUS;VALID_ON;LOT_TYPE_FK;IDE_SCENARIO_FK;IDE_GL_REF;IDE_GL_DETAIL_REF;IDE_GL_ENTITY_REF;TYP_AMOUNT;IDE_CONTRACT_REF;IDE_INTERNAL_PARTY_REF;TYP_DC_INDICATOR;CCY_ISO_CURRENCY;OCA_AMOUNT;RCA_AMOUNT;TYP_GL_TYPE;DTE_VALUE;AUDIT_INFO
5;20230731;1;1;GEL_1741029;0;0;1;;CTP_CKV;2;EUR;532278.51;532278.51;2;31/07/2023;
5;20230731;1;1;GEL_1741030;0;0;1;;CTP_CKV;1;EUR;6896783.98;6896783.98;2;31/07/2023;
5;20230731;1;1;GEL_1741039;0;0;1;;CTP_CKV;2;EUR;6896783.98;6896783.98;2;31/07/2023;
5;20230731;1;1;GEL_1741040;0;0;1;;CTP_CKV;1;EUR;100300.00;100300.00;2;31/07/2023;
5;20230731;1;1;GEL_1741049;0;0;1;;CTP_CKV;2;EUR;41791.50;41791.50;2;31/07/2023;
5;20230731;1;1;GEL_1742000;0;0;1;;CTP_CKV;1;EUR;0.00;0.00;2;31/07/2023;
5;20230731;1;1;GEL_1742009;0;0;1;;CTP_CKV;1;EUR;0.00;0.00;2;31/07/2023;
5;20230731;1;1;GEL_2218000;0;0;1;;CTP_CKV;1;EUR;0.00;0.00;2;31/07/2023;
5;20230731;1;1;GEL_2223121;0;0;1;;CTP_CKV;1;EUR;0.00;0.00;2;31/07/2023;
5;20230731;1;1;GEL_2223122;0;0;1;;CTP_CKV;2;EUR;44350.00;44350.00;2;31/07/2023;
5;20230731;1;1;GEL_2223123;0;0;1;;CTP_CKV;1;EUR;0.00;0.00;2;31/07/2023;
5;20230731;1;1;GEL_2223124;0;0;1;;CTP_CKV;1;EUR;0.00;0.00;2;31/07/2023;
5;20230731;1;1;GEL_2223125;0;0;1;;CTP_CKV;1;EUR;0.00;0.00;2;31/07/2023;
5;20230731;1;1;GEL_2223130;0;0;1;;CTP_CKV;2;EUR;9910.86;9910.86;2;31/07/2023;
5;20230731;1;1;GEL_2223131;0;0;1;;CTP_CKV;1;EUR;0.00;0.00;2;31/07/2023;
5;20230731;1;1;GEL_2223132;0;0;1;;CTP_CKV;1;EUR;0.00;0.00;2;31/07/2023;
5;20230731;1;1;GEL_2223135;0;0;1;;CTP_CKV;2;EUR;5452.28;5452.28;2;31/07/2023;
5;20230731;1;1;GEL_2223136;0;0;1;;CTP_CKV;1;EUR;0.00;0.00;2;31/07/2023;
5;20230731;1;1;GEL_2223137;0;0;1;;CTP_CKV;2;EUR;296.39;296.39;2;31/07/2023;
5;20230731;1;1;GEL_2223151;0;0;1;;CTP_CKV;1;EUR;0.00;0.00;2;31/07/2023;
5;20230731;1;1;GEL_2223152;0;0;1;;CTP_CKV;1;EUR;0.00;0.00;2;31/07/2023;
5;20230731;1;1;GEL_2223153;0;0;1;;CTP_CKV;1;EUR;0.00;0.00;2;31/07/2023;
5;20230731;1;1;GEL_2223161;0;0;1;;CTP_CKV;2;EUR;95195.56;95195.56;2;31/07/2023;
5;20230731;1;1;GEL_2223162;0;0;1;;CTP_CKV;2;EUR;3789141.36;3789141.36;2;31/07/2023;
5;20230731;1;1;GEL_2223163;0;0;1;;CTP_CKV;2;EUR;949792.34;949792.34;2;31/07/2023;
